numero_documento,evento,fecha_evento
12,Cliente Registrado,2024-06-13T18:47:24.652163900
321312312,Cliente Registrado,2024-06-13T18:47:27.966774
11223344,Cliente Registrado,2024-06-13T18:47:33.867063400
87654321,Cliente Registrado,2024-06-13T18:47:44.701310100
12345678,Cliente Registrado,2024-06-13T18:47:52.659307400
11223344,Cliente llamado,2024-06-13T18:48:54.355698400
12345678,Cliente llamado,2024-06-13T18:48:58.494240
87654321,Cliente llamado,2024-06-13T18:48:59.402131600
12,Cliente llamado,2024-06-13T18:49:00.318243900
321312312,Cliente llamado,2024-06-13T18:49:01.919468100
